player,team,agents,rounds_played,rating,acs,adr,kpr,apr,fkpr,fdpr,kills,deaths,assists,first_kills,first_deaths,hs_pct,clutch_success_pct,clutches_won_played,max_kills_map,tournament,stage,match_type,map,game_id,match_id,kdr,kad,fk_fd_diff,hs_rate,clutch_rate
2K,404 Multigaming,"jett, raze",88,1.07,246.0,144.0,0.9,0.14,0.19,0.13,79,64,12,17,11,29.0,8.0,1/13,30,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.234375,1.421875,6,0.29,0.0769230769230769
2kTor,Striking Vipers,killjoy,31,0.44,110.0,70.0,0.39,0.06,0.03,0.06,12,30,2,1,2,26.0,0.0,0/4,8,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4,0.4666666666666667,-1,0.26,0.0
49x,Native 2 Empire,"jett, sage",107,0.97,208.0,127.0,0.74,0.23,0.1,0.14,79,81,25,11,15,38.0,22.0,2/9,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.9753086419753086,1.2839506172839503,-4,0.38,0.2222222222222222
6ix,YAZDA,"cypher, raze, viper",138,0.98,200.0,127.0,0.74,0.24,0.1,0.1,102,97,33,14,14,21.0,30.0,3/10,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0515463917525774,1.3917525773195876,0,0.21,0.3
7êvên,Parek v rohliku,jett,31,0.32,100.0,60.0,0.35,0.13,0.16,0.35,11,30,4,5,11,39.0,33.0,1/3,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.3666666666666666,0.5,-6,0.39,0.3333333333333333
AVELINO,Rhyno Esports,"astra, sage, viper",156,0.83,163.0,100.0,0.57,0.3,0.04,0.07,89,113,47,6,11,23.0,9.0,2/23,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7876106194690266,1.2035398230088497,-5,0.23,0.0869565217391304
AVimH,Sabre,"omen, viper",47,1.23,270.0,168.0,0.94,0.26,0.06,0.04,44,33,12,3,2,25.0,15.0,2/13,23,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.3333333333333333,1.696969696969697,1,0.25,0.1538461538461538
AeykO,ooliganz,"jett, skye",68,1.2,218.0,127.0,0.74,0.18,0.16,0.09,50,40,12,11,6,25.0,0.0,0/6,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.25,1.55,5,0.25,0.0
Akira,Native 2 Empire,"sage, skye, sova",107,0.9,178.0,117.0,0.64,0.24,0.03,0.06,69,78,26,3,6,27.0,4.0,1/24,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8846153846153846,1.2179487179487178,-3,0.27,0.0416666666666666
Antivirus,Scythe of Seraph,"astra, omen",30,0.5,114.0,75.0,0.33,0.07,0.03,0.03,10,27,2,1,1,26.0,0.0,0/11,5,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.3703703703703703,0.4444444444444444,0,0.26,0.0
Apyr,Decend,phoenix,59,0.92,239.0,143.0,0.81,0.22,0.17,0.22,48,49,13,10,13,29.0,0.0,0/6,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.979591836734694,1.2448979591836735,-3,0.29,0.0
Arqa1m,Rugrats,"jett, raze",108,1.08,228.0,140.0,0.72,0.31,0.17,0.12,78,72,33,18,13,23.0,0.0,0/3,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0833333333333333,1.5416666666666667,5,0.23,0.0
Atom,HIGHFIVE,astra,29,0.3,108.0,65.0,0.28,0.17,0.0,0.1,8,28,5,0,3,13.0,0.0,0/4,4,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.2857142857142857,0.4642857142857143,-3,0.13,0.0
Atsumu,DoubleCross eSports,cypher,43,0.8,190.0,118.0,0.6,0.09,0.05,0.09,26,33,4,2,4,24.0,0.0,0/3,13,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7878787878787878,0.9090909090909092,-2,0.24,0.0
Axios,Follow My Drone,jett,39,0.71,200.0,118.0,0.72,0.1,0.18,0.13,28,36,4,7,5,25.0,40.0,2/5,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7777777777777778,0.8888888888888888,2,0.25,0.4
AyxeN,iNCREDIBLES,"sage, sova",33,0.41,95.0,70.0,0.3,0.15,0.06,0.06,10,28,5,2,2,21.0,0.0,0/6,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.3571428571428571,0.5357142857142857,0,0.21,0.0
AzoX,Koudkouto,omen,22,1.09,301.0,199.0,1.0,0.14,0.09,0.09,22,16,3,2,2,26.0,,,22,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.375,1.5625,0,0.26,
B4njo,Precision-Gaming,astra,38,0.73,150.0,92.0,0.5,0.21,0.05,0.03,19,30,8,2,1,22.0,25.0,1/4,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6333333333333333,0.9,1,0.22,0.25
BaGyZ,Gr1nd,"astra, jett",42,1.1,236.0,145.0,0.81,0.17,0.17,0.21,34,30,7,7,9,31.0,0.0,0/3,17,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.1333333333333333,1.3666666666666667,-2,0.31,0.0
BaWaN,Les Zinzins De Lespace,sova,58,0.99,218.0,149.0,0.72,0.29,0.05,0.03,42,47,17,3,2,27.0,0.0,0/11,17,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8936170212765957,1.25531914893617,1,0.27,0.0
Babax,GOODGAME,"brimstone, omen",32,0.65,178.0,123.0,0.59,0.19,0.0,0.06,19,30,6,0,2,43.0,0.0,0/5,10,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6333333333333333,0.8333333333333334,-2,0.43,0.0
Bambi,Original Gamers,sage,37,0.74,174.0,105.0,0.59,0.05,0.05,0.03,22,31,2,2,1,20.0,0.0,0/7,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7096774193548387,0.7741935483870968,1,0.2,0.0
Bax,Team Name,sova,76,1.03,226.0,148.0,0.74,0.33,0.07,0.05,56,55,25,5,4,22.0,20.0,2/10,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.018181818181818,1.4727272727272729,1,0.22,0.2
Berciles,Kupalboys,"omen, sova",71,1.28,249.0,174.0,0.9,0.42,0.11,0.06,64,48,30,8,4,27.0,17.0,2/12,24,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.3333333333333333,1.9583333333333333,4,0.27,0.1666666666666666
Blackberryyy,bb kaverit,astra,68,0.66,149.0,97.0,0.49,0.19,0.04,0.07,33,54,13,3,5,17.0,10.0,1/10,15,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6111111111111112,0.8518518518518519,-2,0.17,0.1
BloodY,PANAIF,"jett, raze",62,0.76,205.0,118.0,0.68,0.24,0.18,0.24,42,58,15,11,15,25.0,0.0,0/2,25,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7241379310344828,0.9827586206896552,-4,0.25,0.0
Boom,Rhyno Esports,"jett, reyna",156,1.05,219.0,138.0,0.76,0.21,0.19,0.18,119,111,32,29,28,23.0,7.0,1/14,28,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.072072072072072,1.3603603603603605,1,0.23,0.0714285714285714
Bophades,Sabre,"jett, sage",47,0.69,122.0,77.0,0.45,0.23,0.04,0.09,21,34,11,2,4,18.0,14.0,1/7,17,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6176470588235294,0.9411764705882352,-2,0.18,0.1428571428571428
Braysheep,Sentry Esports,"astra, sage",39,0.76,152.0,91.0,0.51,0.15,0.08,0.08,20,32,6,3,3,15.0,20.0,1/5,11,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.625,0.8125,0,0.15,0.2
Brix,Kolossus Academy,"brimstone, viper",29,0.45,130.0,91.0,0.41,0.14,0.1,0.14,12,30,4,3,4,19.0,0.0,0/6,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4,0.5333333333333333,-1,0.19,0.0
BulGameR,Spanish Mix,jett,26,0.65,220.0,124.0,0.69,0.0,0.19,0.19,18,27,0,5,5,26.0,0.0,0/5,10,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6666666666666666,0.6666666666666666,0,0.26,0.0
BulletPof,The Nyan's,"astra, skye",69,1.24,232.0,144.0,0.77,0.25,0.13,0.12,53,40,17,9,8,26.0,13.0,1/8,14,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.325,1.75,1,0.26,0.125
BuyKO,UnderDogs,"killjoy, sova, viper",63,0.95,155.0,102.0,0.59,0.25,0.05,0.1,37,41,16,3,6,24.0,17.0,2/12,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.902439024390244,1.2926829268292683,-3,0.24,0.1666666666666666
CQNSTA,The Paw Brothers,"astra, sage",95,0.68,152.0,93.0,0.57,0.19,0.04,0.07,54,78,18,4,7,22.0,15.0,2/13,17,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6923076923076923,0.9230769230769232,-3,0.22,0.1538461538461538
Cal,Meat Feast Gang,jett,57,0.86,234.0,138.0,0.74,0.18,0.23,0.19,42,48,10,13,11,19.0,0.0,0/3,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.875,1.0833333333333333,2,0.19,0.0
Carnifexed,washedfortniteboomers,"astra, reyna",29,0.83,199.0,106.0,0.66,0.21,0.1,0.14,19,27,6,3,4,19.0,13.0,1/8,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7037037037037037,0.925925925925926,-1,0.19,0.125
Chagror,IPL E-SPORT,jett,43,0.79,184.0,128.0,0.63,0.21,0.14,0.26,27,32,9,6,11,28.0,0.0,0/2,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.84375,1.125,-5,0.28,0.0
Chpr,The Stinking Geese,"killjoy, sage",36,0.88,228.0,137.0,0.72,0.25,0.06,0.11,26,30,9,2,4,17.0,9.0,1/11,15,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8666666666666667,1.1666666666666667,-2,0.17,0.0909090909090909
Chryss,Duck Gaming,"jett, raze",56,1.1,246.0,144.0,0.84,0.16,0.25,0.11,47,39,9,14,6,23.0,25.0,2/8,25,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.205128205128205,1.435897435897436,8,0.23,0.25
Cialux,UFO,sova,42,0.62,97.0,69.0,0.33,0.24,0.05,0.05,14,32,10,2,2,24.0,20.0,1/5,7,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4375,0.75,0,0.24,0.2
Cns,BIG WIN,"sage, viper",37,0.67,186.0,122.0,0.57,0.22,0.16,0.16,21,32,8,6,6,21.0,50.0,1/2,17,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.65625,0.90625,0,0.21,0.5
Corsaire,MIX2PLOUCS,"breach, skye",32,0.43,106.0,72.0,0.38,0.25,0.0,0.13,12,29,8,0,4,28.0,100.0,1/1,11,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4137931034482758,0.6896551724137931,-4,0.28,1.0
Crispy,Luulot pois,astra,39,0.52,122.0,85.0,0.41,0.28,0.03,0.21,16,33,11,1,8,17.0,25.0,1/4,14,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4848484848484848,0.8181818181818182,-7,0.17,0.25
DADDYDERICK,SPEDS,viper,35,0.89,237.0,151.0,0.86,0.31,0.26,0.06,30,31,11,9,2,38.0,0.0,0/8,24,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.967741935483871,1.3225806451612905,7,0.38,0.0
DH,Leftovers,"raze, sage",122,1.37,242.0,141.0,0.89,0.16,0.15,0.07,109,59,20,18,8,13.0,29.0,2/7,26,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.847457627118644,2.1864406779661016,10,0.13,0.2857142857142857
DOFR,UFO,"omen, viper",42,0.78,171.0,121.0,0.55,0.4,0.05,0.17,23,35,17,2,7,13.0,20.0,1/5,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6571428571428571,1.1428571428571428,-5,0.13,0.2
DcTzR,The Goose House,jett,58,0.74,226.0,136.0,0.72,0.17,0.21,0.26,42,53,10,12,15,17.0,33.0,1/3,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7924528301886793,0.981132075471698,-3,0.17,0.3333333333333333
DerDreckige,Original Gamers,reyna,37,0.86,233.0,147.0,0.73,0.24,0.24,0.16,27,32,9,9,6,17.0,0.0,0/1,19,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.84375,1.125,3,0.17,0.0
Dext,Movistar Riders,"cypher, skye",179,1.0,200.0,126.0,0.69,0.23,0.11,0.1,124,122,41,19,18,31.0,27.0,3/11,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0163934426229508,1.352459016393443,1,0.31,0.2727272727272727
DiamonnDy,HeadShotByWig,sova,41,0.78,176.0,115.0,0.63,0.15,0.05,0.1,26,35,6,2,4,29.0,0.0,0/9,19,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7428571428571429,0.9142857142857144,-2,0.29,0.0
Dosker,Team Collusion,"astra, sage, skye",61,0.9,152.0,85.0,0.56,0.28,0.1,0.03,34,36,17,6,2,30.0,0.0,0/5,11,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.9444444444444444,1.4166666666666667,4,0.3,0.0
DoubleD,Team Galaga,sova,44,0.73,158.0,115.0,0.5,0.3,0.02,0.09,22,33,13,1,4,12.0,17.0,1/6,13,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6666666666666666,1.0606060606060606,-3,0.12,0.1666666666666666
Dramsès,MIX2PLOUCS,"sage, sova",32,0.46,149.0,112.0,0.41,0.28,0.06,0.22,13,31,9,2,7,15.0,0.0,0/6,10,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4193548387096774,0.7096774193548387,-5,0.15,0.0
Drapp,Meat Feast Gang,"cypher, killjoy",57,0.65,138.0,101.0,0.49,0.12,0.05,0.18,28,41,7,3,10,19.0,22.0,2/9,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6829268292682927,0.8536585365853658,-7,0.19,0.2222222222222222
DronezZ,Kupalboys,"breach, skye",71,1.29,251.0,169.0,0.9,0.3,0.03,0.03,64,47,21,2,2,29.0,22.0,2/9,26,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.3617021276595744,1.8085106382978724,0,0.29,0.2222222222222222
Drongo,MSP,"omen, sage",30,0.56,154.0,104.0,0.43,0.17,0.03,0.1,13,28,5,1,3,25.0,20.0,1/5,8,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4642857142857143,0.6428571428571429,-2,0.25,0.2
Drp,Parek v rohliku,sage,31,0.45,135.0,70.0,0.45,0.03,0.0,0.03,14,30,1,0,1,16.0,0.0,0/8,10,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4666666666666667,0.5,-1,0.16,0.0
DukloRen,Békéscsabai E-sport Egyesület,"astra, viper",128,0.91,170.0,106.0,0.59,0.43,0.07,0.11,76,90,55,9,14,18.0,15.0,2/13,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8444444444444444,1.4555555555555555,-5,0.18,0.1538461538461538
Dyln5k,Godalions,"skye, sova",30,0.64,157.0,109.0,0.47,0.1,0.07,0.07,14,27,3,2,2,35.0,0.0,0/6,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5185185185185185,0.6296296296296297,0,0.35,0.0
EDiMkAtaNa,Full Flashed,"breach, viper",70,1.11,193.0,124.0,0.76,0.31,0.07,0.06,53,42,22,5,4,19.0,0.0,0/9,26,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.261904761904762,1.7857142857142858,1,0.19,0.0
ENAM,Koudkouto,sage,22,0.98,221.0,152.0,0.82,0.14,0.0,0.09,18,16,3,0,2,33.0,0.0,0/5,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.125,1.3125,-2,0.33,0.0
ENOV94,need girlfriend,"brimstone, omen, reyna",225,1.04,226.0,143.0,0.76,0.33,0.08,0.13,171,166,75,19,29,17.0,28.0,7/25,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0301204819277108,1.4819277108433735,-10,0.17,0.28
Easylife,Rhyno Esports,"cypher, killjoy",156,0.91,164.0,103.0,0.56,0.16,0.02,0.05,87,103,25,3,8,20.0,20.0,3/15,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8446601941747572,1.087378640776699,-5,0.2,0.2
Ekriiz,Team Galaga,reyna,44,1.15,246.0,153.0,0.91,0.11,0.05,0.09,40,31,5,2,4,34.0,0.0,0/6,22,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.2903225806451613,1.4516129032258065,-2,0.34,0.0
Elo,FLEER,astra,33,0.64,176.0,112.0,0.64,0.21,0.0,0.15,21,29,7,0,5,33.0,0.0,0/4,13,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7241379310344828,0.9655172413793104,-5,0.33,0.0
Emz,Team Name,"jett, skye",76,1.07,230.0,144.0,0.82,0.25,0.13,0.07,62,59,19,10,5,18.0,21.0,4/19,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0508474576271187,1.3728813559322033,5,0.18,0.2105263157894736
Epzz,Budget Aimers,"sage, sova",65,1.06,205.0,135.0,0.69,0.42,0.08,0.02,45,46,27,5,1,22.0,9.0,1/11,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.9782608695652174,1.565217391304348,4,0.22,0.0909090909090909
Every,PointAndClick,"skye, viper",101,0.83,160.0,107.0,0.56,0.16,0.06,0.08,57,70,16,6,8,31.0,17.0,2/12,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8142857142857143,1.042857142857143,-2,0.31,0.1666666666666666
Ex6TenZ,Ninjas in Pyjamas,"brimstone, skye",44,1.12,252.0,152.0,0.86,0.18,0.09,0.11,38,29,8,4,5,26.0,0.0,0/9,22,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.3103448275862069,1.5862068965517242,-1,0.26,0.0
Exaldy,Exalty,"cypher, jett, killjoy",129,0.97,231.0,144.0,0.79,0.2,0.12,0.04,102,101,26,15,5,24.0,11.0,2/19,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.00990099009901,1.2673267326732671,10,0.24,0.1052631578947368
Extreme,15 Kings,jett,60,1.13,223.0,142.0,0.78,0.08,0.23,0.08,47,36,5,14,5,31.0,14.0,1/7,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.3055555555555556,1.4444444444444444,9,0.31,0.1428571428571428
F10RD,TEAM CZAPKA,jett,31,0.49,156.0,93.0,0.55,0.1,0.03,0.1,17,27,3,1,3,24.0,0.0,0/5,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6296296296296297,0.7407407407407407,-2,0.24,0.0
Famsii,MallunRed,jett,97,0.98,243.0,154.0,0.85,0.11,0.14,0.13,82,78,11,14,13,29.0,0.0,0/9,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.051282051282051,1.1923076923076923,1,0.29,0.0
Fangorn,ENTS,"jett, sova",26,0.11,64.0,43.0,0.12,0.15,0.04,0.19,3,27,4,1,5,11.0,0.0,0/3,2,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.1111111111111111,0.2592592592592592,-4,0.11,0.0
Faunic,Follow My Drone,breach,39,0.59,128.0,70.0,0.51,0.28,0.0,0.13,20,33,11,0,5,10.0,20.0,1/5,12,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6060606060606061,0.9393939393939394,-5,0.1,0.2
FlipperOnLean,Playing Aliens,"jett, phoenix",31,0.41,100.0,65.0,0.26,0.06,0.03,0.23,8,29,2,1,7,9.0,0.0,0/4,6,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.2758620689655172,0.3448275862068966,-6,0.09,0.0
Fraxc,Head Hunter's,brimstone,34,0.48,112.0,76.0,0.41,0.12,0.06,0.09,14,28,4,2,3,19.0,50.0,1/2,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5,0.6428571428571429,-1,0.19,0.5
Fyzen,Humanity Esport,"jett, phoenix, raze",93,0.75,185.0,115.0,0.61,0.23,0.14,0.17,57,73,21,13,16,12.0,0.0,0/4,18,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7808219178082192,1.0684931506849316,-3,0.12,0.0
FénixX,ENTS,"sage, skye",26,0.4,98.0,54.0,0.35,0.08,0.04,0.15,9,24,2,1,4,27.0,0.0,0/9,7,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.375,0.4583333333333333,-3,0.27,0.0
GIAMMARIN0,BIG WIN,"astra, breach",37,0.82,207.0,128.0,0.73,0.08,0.05,0.05,27,29,3,2,2,48.0,0.0,0/2,15,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.9310344827586208,1.0344827586206895,0,0.48,0.0
GSXR 1000,HeadShotByWig,"sage, skye",41,0.69,130.0,85.0,0.44,0.15,0.02,0.07,18,32,6,1,3,32.0,11.0,1/9,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5625,0.75,-2,0.32,0.1111111111111111
Gayzeur,FOXA NSV,"cypher, killjoy",61,0.88,196.0,121.0,0.66,0.18,0.02,0.05,40,45,11,1,3,22.0,22.0,2/9,15,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8888888888888888,1.1333333333333333,-2,0.22,0.2222222222222222
Gedallino,SPEDS,"sage, sova",35,0.73,188.0,119.0,0.57,0.29,0.06,0.14,20,29,10,2,5,15.0,0.0,0/2,10,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6896551724137931,1.0344827586206895,-3,0.15,0.0
GillianH,Yendez,"cypher, killjoy, sage",139,1.08,198.0,120.0,0.69,0.24,0.05,0.04,96,82,34,7,5,24.0,8.0,1/13,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.170731707317073,1.5853658536585369,2,0.24,0.0769230769230769
Gilman,Playing Aliens,"killjoy, sova",61,0.79,150.0,86.0,0.51,0.16,0.1,0.11,31,42,10,6,7,17.0,13.0,1/8,13,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.7380952380952381,0.9761904761904762,-1,0.17,0.125
Glance,Project X,sova,62,0.8,150.0,99.0,0.5,0.26,0.02,0.05,31,46,16,1,3,19.0,0.0,0/14,11,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6739130434782609,1.0217391304347827,-2,0.19,0.0
Gorilla,Duck Gaming,"breach, sage, skye",56,0.61,137.0,102.0,0.54,0.23,0.05,0.16,30,46,13,3,9,28.0,0.0,0/8,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.6521739130434783,0.9347826086956522,-6,0.28,0.0
Gorli,UnderDogs Gaming,omen,55,0.83,194.0,121.0,0.67,0.2,0.16,0.09,37,43,11,9,5,28.0,10.0,1/10,23,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.8604651162790697,1.1162790697674418,4,0.28,0.1
GrTw,Native 2 Empire,"cypher, killjoy, sage",107,0.73,153.0,103.0,0.5,0.21,0.06,0.07,54,80,22,6,7,21.0,24.0,5/21,15,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.675,0.95,-1,0.21,0.238095238095238
Grimztar,Original Gamers,"killjoy, viper",37,0.57,125.0,86.0,0.46,0.19,0.03,0.16,17,29,7,1,6,19.0,0.0,0/5,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5862068965517241,0.8275862068965517,-5,0.19,0.0
Gristyy,MSP,"jett, raze",30,0.19,95.0,62.0,0.27,0.1,0.1,0.3,8,31,3,3,9,13.0,0.0,0/3,5,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.2580645161290322,0.3548387096774194,-6,0.13,0.0
Gustallion,Vieux Touristes,sova,26,0.37,146.0,79.0,0.42,0.04,0.12,0.19,11,26,1,3,5,29.0,0.0,0/5,6,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4230769230769231,0.4615384615384615,-2,0.29,0.0
Gyp,Xiron Gamers,omen,31,0.19,46.0,35.0,0.13,0.13,0.03,0.23,4,30,4,1,7,12.0,0.0,0/1,4,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.1333333333333333,0.2666666666666666,-6,0.12,0.0
H3ll,UnderDogs Gaming,"sage, skye",55,0.93,172.0,117.0,0.64,0.27,0.05,0.0,35,37,15,3,0,23.0,29.0,2/7,23,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.945945945945946,1.351351351351351,3,0.23,0.2857142857142857
HFeAR,HeadShotByWig,"killjoy, sage",41,0.88,240.0,160.0,0.8,0.2,0.0,0.1,33,33,8,0,4,28.0,17.0,1/6,21,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,1.0,1.2424242424242424,-4,0.28,0.1666666666666666
HIT HIS BRAIN,NoPracc,"skye, sova",38,0.54,124.0,85.0,0.39,0.13,0.0,0.0,15,31,5,0,0,20.0,0.0,0/5,8,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.4838709677419355,0.6451612903225806,0,0.2,0.0
HYPNO,Nexus Gaming,jett,50,0.58,146.0,92.0,0.54,0.1,0.12,0.22,27,43,5,6,11,15.0,0.0,0/4,20,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.627906976744186,0.7441860465116279,-5,0.15,0.0
Harambe,Team Galaga,"astra, viper",44,0.97,196.0,117.0,0.66,0.23,0.11,0.09,29,30,10,5,4,26.0,14.0,1/7,16,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.9666666666666668,1.3,1,0.26,0.1428571428571428
Haste,Head Hunter's,sage,34,0.55,136.0,64.0,0.47,0.12,0.06,0.06,16,29,4,2,2,17.0,0.0,0/6,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5517241379310345,0.6896551724137931,0,0.17,0.0
HonzajZ,iNCREDIBLES,cypher,33,0.65,158.0,114.0,0.48,0.09,0.03,0.15,16,28,3,1,5,20.0,0.0,0/10,9,Champions Tour Europe Stage 3: Challengers 1,All Stages,All Match Types,,,,0.5714285714285714,0.6785714285714286,-4,0.2,0.0
